CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,SHUTDOWN,LATITUDE,LONGITUDE
am,ARMENIA,AM-18,ARMENIAN-1,PWR,1375,408,376,ANPPCJSC,FAEA,07-1969,12-1976,10-1977,02-1989,40.18084444,44.14890833
be,BELGIUM,BE-1,BR-3,PWR,41,12,10,CEN/SCK,WH,11-1957,10-1962,10-1962,06-1987,47.51222222,34.58583333
bg,BULGARIA,BG-1,KOZLODUY-1,PWR,1375,440,408,KOZNPP,AEE,04-1970,07-1974,10-1974,12-2020,43.74611111,23.77055556
bg,BULGARIA,BG-2,KOZLODUY-2,PWR,1375,440,408,KOZNPP,AEE,04-1970,08-1975,11-1975,12-2020,43.78333333,23.73333333
bg,BULGARIA,BG-3,KOZLODUY-3,PWR,1375,440,408,KOZNPP,AEE,10-1973,12-1980,01-1981,12-2020,43.74611111,23.77055556
bg,BULGARIA,BG-4,KOZLODUY-4,PWR,1375,440,408,KOZNPP,AEE,10-1973,05-1982,06-1982,12-2020,43.74611111,23.77055556
ca,CANADA,CA-2,DOUGLAS POINT,PHWR,704,218,206,OH,AECL,02-1960,01-1967,09-1968,05-1984,44.32666667,-81.6
ca,CANADA,CA-3,GENTILLY-1,HWLWR,792,266,250,HQ,AECL,09-1966,04-1971,05-1972,06-1977,46.39583333,-72.35694444
ca,CANADA,CA-12,GENTILLY-2,PHWR,2156,675,635,HQ,AECL,04-1974,12-1982,10-1983,12-2020,46.39583333,-72.35694444
ca,CANADA,CA-5,PICKERING-2,PHWR,1744,542,515,OPG,OH/AECL,09-1966,10-1971,12-1971,05-2020,43.8354,-79.089
ca,CANADA,CA-6,PICKERING-3,PHWR,1744,542,515,OPG,OH/AECL,12-1967,05-1972,06-1972,10-2020,43.81166667,-79.06583333
ca,CANADA,CA-1,ROLPHTON NPD,PHWR,92,25,22,OH,CGE,01-1958,06-1962,10-1962,08-1987,46.18666667,-77.65777778
fr,FRANCE,FR-9,BUGEY-1,GCR,1954,555,540,EDF,FRAM,12-1965,04-1972,07-1972,05-1994,45.79833333,5.27083333
fr,FRANCE,FR-2,CHINON A-1,GCR,300,80,70,EDF,LEVIVIER,02-1957,06-1963,02-1964,04-1973,47.1678,0.2436
fr,FRANCE,FR-3,CHINON A-2,GCR,800,230,180,EDF,LEVIVIER,08-1959,02-1965,02-1965,06-1985,47.1678,0.2436
fr,FRANCE,FR-4,CHINON A-3,GCR,1170,480,360,EDF,GTM,03-1961,08-1966,08-1966,06-1990,47.1678,0.2436
fr,FRANCE,FR-5,CHOOZ-A (ARDENNES),PWR,1040,320,305,SENA,A/F/W,01-1962,04-1967,04-1967,10-1991,50.09,4.78944444
fr,FRANCE,FR-6,EL-4 (MONTS D'ARREE),HWGCR,250,75,70,EDF,GAAA,07-1962,07-1967,06-1968,07-1985,48.3533,-3.87220278
fr,FRANCE,FR-1B,G-2 (MARCOULE),GCR,260,43,39,COGEMA,SACM,03-1955,04-1959,04-1959,02-1980,44.14333333,4.70944444
fr,FRANCE,FR-1,G-3 (MARCOULE),GCR,260,43,40,COGEMA,SACM,03-1956,04-1960,04-1960,06-1984,44.14333333,4.70944444
fr,FRANCE,FR-10,PHENIX,FBR,345,142,130,CEA/EDF,CNCLNEY,11-1968,12-1973,07-1974,02-2020,44.14333333,4.71166667
fr,FRANCE,FR-7,ST. LAURENT A-1,GCR,1650,500,390,EDF,FRAM,10-1963,03-1969,06-1969,04-1990,47.72,1.5775
fr,FRANCE,FR-8,ST. LAURENT A-2,GCR,1475,530,465,EDF,FRAM,01-1966,08-1971,11-1971,05-1992,47.72,1.5775
fr,FRANCE,FR-24,SUPER-PHENIX,FBR,3000,1242,1200,EDF,ASPALDO,12-1976,01-1986,12-1986,12-1998,45.75833333,5.47222222
fr,FRANCE,FR-11,FESSENHEIM-1,PWR,2785,920,880,EDF,FRAM,09-1971,04-1977,01-1978,02-2020,47.90305556,7.56305556
fr,FRANCE,FR-12,FESSENHEIM-2,PWR,2785,920,880,EDF,FRAM,02-1972,10-1977,04-1978,06-2020,47.90305556,7.56305556
de,GERMANY,DE-4,AVR JUELICH,HTGR,46,15,13,AVR,BBK,08-1961,12-1967,05-1969,12-1988,50.90305556,6.42111111
de,GERMANY,DE-12,BIBLIS-A,PWR,3517,1225,1167,RWE,KWU,01-1970,08-1974,02-1975,08-2020,49.7,8.46666667
de,GERMANY,DE-18,BIBLIS-B,PWR,3733,1300,1240,RWE,KWU,02-1972,04-1976,01-1977,08-2020,49.7,8.46666667
de,GERMANY,DE-13,BRUNSBUETTEL,BWR,2292,806,771,KKB,KWU,04-1970,07-1976,02-1977,08-2020,53.89638889,9.13861111
de,GERMANY,DE-23,GRAFENRHEINFELD,PWR,3765,1345,1275,E.ON,KWU,01-1975,12-1981,06-1982,06-2020,50.0,10.2
de,GERMANY,DE-502,GREIFSWALD-1,PWR,1375,440,408,EWN,AEE,03-1970,12-1973,07-1974,02-1990,54.08333333,13.38333333
de,GERMANY,DE-503,GREIFSWALD-2,PWR,1375,440,408,EWN,AEE,03-1970,12-1974,04-1975,02-1990,54.08333333,13.38333333
de,GERMANY,DE-504,GREIFSWALD-3,PWR,1375,440,408,EWN,AEE,04-1972,10-1977,05-1978,02-1990,54.08333333,13.38333333
de,GERMANY,DE-505,GREIFSWALD-4,PWR,1375,440,408,EWN,AEE,04-1972,09-1979,11-1979,07-1990,54.08333333,13.38333333
de,GERMANY,DE-506,GREIFSWALD-5,PWR,1375,440,408,EWN,AEE,12-1976,04-1989,11-1989,11-1989,54.08333333,13.38333333
de,GERMANY,DE-3,GUNDREMMINGEN-A,BWR,801,250,237,KGB,"AEG,GE",12-1962,12-1966,04-1967,01-1977,48.51472222,10.40222222
de,GERMANY,DE-26,GUNDREMMINGEN-B,BWR,3840,1344,1284,KGG,KWU,07-1976,03-1984,07-1984,12-2020,48.51472222,10.40222222
de,GERMANY,DE-7,HDR GROSSWELZHEIM,BWR,100,27,25,HDR,"AEG,KWU",01-1965,10-1969,08-1970,04-1971,50.05805556,8.98694444
de,GERMANY,DE-16,ISAR-1,BWR,2575,912,878,E.ON,KWU,05-1972,12-1977,03-1979,08-2020,48.80305556,12.97638889
de,GERMANY,DE-8,KNK II,FBR,58,21,17,KBG,IA,09-1974,04-1978,03-1979,08-1991,49.09944444,8.43277778
de,GERMANY,DE-20,KRUEMMEL,BWR,3690,1402,1346,KKK,KWU,04-1974,09-1983,03-1984,08-2020,50.53722222,7.72472222
de,GERMANY,DE-6,LINGEN,BWR,520,268,183,KWL,AEG,10-1964,07-1968,10-1968,01-1977,52.52305556,7.32305556
de,GERMANY,DE-22,MUELHEIM-KAERLICH,PWR,3760,1302,1219,KGG,BBR,01-1975,03-1986,08-1987,09-1988,50.40805556,7.49
de,GERMANY,DE-2,MZFR,PHWR,200,57,52,KBG,SIEMENS,12-1961,03-1966,12-1966,05-1984,49.10416667,8.43277778
de,GERMANY,DE-15,NECKARWESTHEIM-1,PWR,2497,840,785,EnKK,KWU,02-1972,06-1976,12-1976,08-2020,49.04166667,9.175
de,GERMANY,DE-11,NIEDERAICHBACH,HWGCR,321,106,100,KKN,"SIEM,KWU",06-1966,01-1973,01-1973,07-1974,48.6,12.31666667
de,GERMANY,DE-5,OBRIGHEIM,PWR,1050,357,340,EnBW,"SIEM,KWU",03-1965,10-1968,03-1969,05-2020,49.35222222,9.09277778
de,GERMANY,DE-14,PHILIPPSBURG-1,BWR,2575,926,890,EnKK,KWU,10-1970,05-1979,03-1980,08-2020,49.23333333,8.45
de,GERMANY,DE-24,PHILIPPSBURG-2,PWR,3950,1468,1402,EnKK,KWU,07-1977,12-1984,04-1985,12-2020,49.23333333,8.45
de,GERMANY,DE-501,RHEINSBERG,PWR,265,70,62,EWN,AEE,01-1960,05-1966,10-1966,06-1990,53.09833333,12.89583333
de,GERMANY,DE-10,STADE,PWR,1900,672,640,E.ON,KWU,12-1967,01-1972,05-1972,11-2020,53.60083333,9.47638889
de,GERMANY,DE-19,THTR-300,HTGR,760,308,296,HKG,HRB,05-1971,11-1985,06-1987,09-1988,51.67916667,7.97166667
de,GERMANY,DE-17,UNTERWESER,PWR,3900,1410,1345,E.ON,KWU,07-1972,09-1978,09-1979,08-2020,53.53555556,8.56555556
de,GERMANY,DE-1,VAK KAHL,BWR,60,16,15,VAK,"GE,AEG",07-1958,06-1961,02-1962,11-1985,50.05911944,8.98727778
de,GERMANY,DE-9,WUERGASSEN,BWR,1912,670,640,PE,"AEG,KWU",01-1968,12-1971,11-1975,08-1994,51.63916667,9.39138889
it,ITALY,IT-4,CAORSO,BWR,2651,882,860,SOGIN,AMN/GETS,01-1970,05-1978,12-1981,07-1990,45.05,9.86666667
it,ITALY,IT-3,ENRICO FERMI,PWR,870,270,260,SOGIN,EL/WEST,07-1961,10-1964,01-1965,07-1990,41.96277778,-83.2575
it,ITALY,IT-2,GARIGLIANO,BWR,506,160,150,SOGIN,GE,11-1959,01-1964,06-1964,03-1982,41.2229,13.7617
it,ITALY,IT-1,LATINA,GCR,660,160,153,SOGIN,TNPG,11-1958,05-1963,01-1964,12-1987,41.42610833,12.80686139
jp,JAPAN,JP-20,FUGEN ATR,HWLWR,557,165,148,JAEA,HITACHI,05-1972,07-1978,03-1979,03-2020,35.75444444,136.01638889
jp,JAPAN,JP-5,FUKUSHIMA-DAIICHI-1,BWR,1380,460,439,TEPCO,GE/GETSC,07-1967,11-1970,03-1971,05-2020,37.42305556,141.03305556
jp,JAPAN,JP-9,FUKUSHIMA-DAIICHI-2,BWR,2381,784,760,TEPCO,GE/T,06-1969,12-1973,07-1974,05-2020,37.42138889,141.0325
jp,JAPAN,JP-10,FUKUSHIMA-DAIICHI-3,BWR,2381,784,760,TEPCO,TOSHIBA,12-1970,10-1974,03-1976,05-2020,37.42305556,141.03305556
jp,JAPAN,JP-16,FUKUSHIMA-DAIICHI-4,BWR,2381,784,760,TEPCO,HITACHI,02-1973,02-1978,10-1978,05-2020,37.42305556,141.03305556
jp,JAPAN,JP-17,FUKUSHIMA-DAIICHI-5,BWR,2381,784,760,TEPCO,TOSHIBA,05-1972,09-1977,04-1978,12-2020,37.42305556,141.03305556
jp,JAPAN,JP-18,FUKUSHIMA-DAIICHI-6,BWR,3293,1100,1067,TEPCO,GE/T,10-1973,05-1979,10-1979,12-2020,37.42305556,141.03305556
jp,JAPAN,JP-25,FUKUSHIMA-DAINI-1,BWR,3293,1100,1067,TEPCO,TOSHIBA,03-1976,07-1981,04-1982,09-2020,37.31638889,141.02555556
jp,JAPAN,JP-26,FUKUSHIMA-DAINI-2,BWR,3293,1100,1067,TEPCO,HITACHI,05-1979,06-1983,02-1984,09-2020,37.31638889,141.02555556
jp,JAPAN,JP-35,FUKUSHIMA-DAINI-3,BWR,3293,1100,1067,TEPCO,TOSHIBA,03-1981,12-1984,06-1985,09-2020,37.31638889,141.02555556
jp,JAPAN,JP-38,FUKUSHIMA-DAINI-4,BWR,3293,1100,1067,TEPCO,HITACHI,05-1981,12-1986,08-1987,09-2020,37.31638889,141.02555556
jp,JAPAN,JP-12,GENKAI-1,PWR,1650,559,529,KYUSHU,MHI,09-1971,02-1975,10-1975,04-2020,33.51555556,129.83722222
jp,JAPAN,JP-27,GENKAI-2,PWR,1650,559,529,KYUSHU,MHI,02-1977,06-1980,03-1981,04-2020,33.51555556,129.83722222
jp,JAPAN,JP-11,HAMAOKA-1,BWR,1593,540,515,CHUBU,TOSHIBA,06-1971,08-1974,03-1976,01-2020,34.62361111,138.1425
jp,JAPAN,JP-24,HAMAOKA-2,BWR,2436,840,806,CHUBU,TOSHIBA,06-1974,05-1978,11-1978,01-2020,34.62361111,138.1425
jp,JAPAN,JP-23,IKATA-1,PWR,1650,566,538,SHIKOKU,MHI,09-1973,02-1977,09-1977,05-2020,33.48333333,132.35
jp,JAPAN,JP-32,IKATA-2,PWR,1650,566,538,SHIKOKU,MHI,08-1978,08-1981,03-1982,05-2020,33.49083333,132.31138889
jp,JAPAN,JP-1,JPDR,BWR,90,13,12,JAEA,GE,12-1960,10-1963,03-1965,03-1976,37.42305556,141.03305556
jp,JAPAN,JP-4,MIHAMA-1,PWR,1031,340,320,KEPCO,WH,02-1967,08-1970,11-1970,04-2020,35.703475,135.96357778
jp,JAPAN,JP-6,MIHAMA-2,PWR,1456,500,470,KEPCO,MHI,05-1968,04-1972,07-1972,04-2020,35.703475,135.96357778
jp,JAPAN,JP-31,MONJU,FBR,714,280,246,JAEA,T/H/F/M,05-1986,08-1995,,12-2020,35.74027778,135.98805556
jp,JAPAN,JP-15,OHI-1,PWR,3423,1175,1120,KEPCO,WH,10-1972,12-1977,03-1979,03-2020,35.540625,135.65203333
jp,JAPAN,JP-19,OHI-2,PWR,3423,1175,1120,KEPCO,WH,12-1972,10-1978,12-1979,03-2020,35.540625,135.65203333
jp,JAPAN,JP-22,ONAGAWA-1,BWR,1593,524,498,TOHOKU,TOSHIBA,07-1980,11-1983,06-1984,12-2020,38.40111111,141.49972222
jp,JAPAN,JP-7,SHIMANE-1,BWR,1380,460,439,CHUGOKU,HITACHI,07-1970,12-1973,03-1974,04-2020,35.21666667,132.66666667
jp,JAPAN,JP-2,TOKAI-1,GCR,587,166,137,JAPCO,GEC,03-1961,11-1965,07-1966,03-1998,36.46638889,140.60666667
jp,JAPAN,JP-3,TSURUGA-1,BWR,1070,357,340,JAPCO,GE,11-1966,11-1969,03-1970,04-2020,35.64519444,136.0555
kz,KAZAKHSTAN,KZ-10,AKTAU,FBR,1000,90,52,MAEC-KAZ,MAEC-KAZ,10-1964,07-1973,07-1973,04-1999,43.65,51.15
kr,"KOREA, REP. OF",KR-1,KORI-1,PWR,1729,607,576,KHNP,WH,08-1972,06-1977,04-1978,06-2020,35.319904,129.290053
kr,"KOREA, REP. OF",KR-3,WOLSONG-1,PHWR,2061,683,661,KHNP,AECL,10-1977,12-1982,04-1983,12-2020,35.71666667,129.47777778
lt,LITHUANIA,LT-46,IGNALINA-1,LWGR,4800,1300,1185,INPP,MAEP,05-1977,12-1983,05-1985,12-2020,55.35,26.16666667
