CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,SHUTDOWN
am,ARMENIA,AM-18,ARMENIAN-1,PWR,1375,408,376,ANPPCJSC,FAEA,07-1969,12-1976,10-1977,02-1989
be,BELGIUM,BE-1,BR-3,PWR,41,12,10,CEN/SCK,WH,11-1957,10-1962,10-1962,06-1987
bg,BULGARIA,BG-1,KOZLODUY-1,PWR,1375,440,408,KOZNPP,AEE,04-1970,07-1974,10-1974,12-2020
bg,BULGARIA,BG-2,KOZLODUY-2,PWR,1375,440,408,KOZNPP,AEE,04-1970,08-1975,11-1975,12-2020
bg,BULGARIA,BG-3,KOZLODUY-3,PWR,1375,440,408,KOZNPP,AEE,10-1973,12-1980,01-1981,12-2020
bg,BULGARIA,BG-4,KOZLODUY-4,PWR,1375,440,408,KOZNPP,AEE,10-1973,05-1982,06-1982,12-2020
ca,CANADA,CA-2,DOUGLAS POINT,PHWR,704,218,206,OH,AECL,02-1960,01-1967,09-1968,05-1984
ca,CANADA,CA-3,GENTILLY-1,HWLWR,792,266,250,HQ,AECL,09-1966,04-1971,05-1972,06-1977
ca,CANADA,CA-12,GENTILLY-2,PHWR,2156,675,635,HQ,AECL,04-1974,12-1982,10-1983,12-2020
ca,CANADA,CA-5,PICKERING-2,PHWR,1744,542,515,OPG,OH/AECL,09-1966,10-1971,12-1971,05-2020
ca,CANADA,CA-6,PICKERING-3,PHWR,1744,542,515,OPG,OH/AECL,12-1967,05-1972,06-1972,10-2020
ca,CANADA,CA-1,ROLPHTON NPD,PHWR,92,25,22,OH,CGE,01-1958,06-1962,10-1962,08-1987
fr,FRANCE,FR-9,BUGEY-1,GCR,1954,555,540,EDF,FRAM,12-1965,04-1972,07-1972,05-1994
fr,FRANCE,FR-2,CHINON A-1,GCR,300,80,70,EDF,LEVIVIER,02-1957,06-1963,02-1964,04-1973
fr,FRANCE,FR-3,CHINON A-2,GCR,800,230,180,EDF,LEVIVIER,08-1959,02-1965,02-1965,06-1985
fr,FRANCE,FR-4,CHINON A-3,GCR,1170,480,360,EDF,GTM,03-1961,08-1966,08-1966,06-1990
fr,FRANCE,FR-5,CHOOZ-A (ARDENNES),PWR,1040,320,305,SENA,A/F/W,01-1962,04-1967,04-1967,10-1991
fr,FRANCE,FR-6,EL-4 (MONTS D'ARREE),HWGCR,250,75,70,EDF,GAAA,07-1962,07-1967,06-1968,07-1985
fr,FRANCE,FR-1B,G-2 (MARCOULE),GCR,260,43,39,COGEMA,SACM,03-1955,04-1959,04-1959,02-1980
fr,FRANCE,FR-1,G-3 (MARCOULE),GCR,260,43,40,COGEMA,SACM,03-1956,04-1960,04-1960,06-1984
fr,FRANCE,FR-10,PHENIX,FBR,345,142,130,CEA/EDF,CNCLNEY,11-1968,12-1973,07-1974,02-2020
fr,FRANCE,FR-7,ST. LAURENT A-1,GCR,1650,500,390,EDF,FRAM,10-1963,03-1969,06-1969,04-1990
fr,FRANCE,FR-8,ST. LAURENT A-2,GCR,1475,530,465,EDF,FRAM,01-1966,08-1971,11-1971,05-1992
fr,FRANCE,FR-24,SUPER-PHENIX,FBR,3000,1242,1200,EDF,ASPALDO,12-1976,01-1986,12-1986,12-1998
fr,FRANCE,FR-11,FESSENHEIM-1,PWR,2785,920,880,EDF,FRAM,09-1971,04-1977,01-1978,02-2020
fr,FRANCE,FR-12,FESSENHEIM-2,PWR,2785,920,880,EDF,FRAM,02-1972,10-1977,04-1978,06-2020
de,GERMANY,DE-4,AVR JUELICH,HTGR,46,15,13,AVR,BBK,08-1961,12-1967,05-1969,12-1988
de,GERMANY,DE-12,BIBLIS-A,PWR,3517,1225,1167,RWE,KWU,01-1970,08-1974,02-1975,08-2020
de,GERMANY,DE-18,BIBLIS-B,PWR,3733,1300,1240,RWE,KWU,02-1972,04-1976,01-1977,08-2020
de,GERMANY,DE-13,BRUNSBUETTEL,BWR,2292,806,771,KKB,KWU,04-1970,07-1976,02-1977,08-2020
de,GERMANY,DE-23,GRAFENRHEINFELD,PWR,3765,1345,1275,E.ON,KWU,01-1975,12-1981,06-1982,06-2020
de,GERMANY,DE-502,GREIFSWALD-1,PWR,1375,440,408,EWN,AEE,03-1970,12-1973,07-1974,02-1990
de,GERMANY,DE-503,GREIFSWALD-2,PWR,1375,440,408,EWN,AEE,03-1970,12-1974,04-1975,02-1990
de,GERMANY,DE-504,GREIFSWALD-3,PWR,1375,440,408,EWN,AEE,04-1972,10-1977,05-1978,02-1990
de,GERMANY,DE-505,GREIFSWALD-4,PWR,1375,440,408,EWN,AEE,04-1972,09-1979,11-1979,07-1990
de,GERMANY,DE-506,GREIFSWALD-5,PWR,1375,440,408,EWN,AEE,12-1976,04-1989,11-1989,11-1989
de,GERMANY,DE-3,GUNDREMMINGEN-A,BWR,801,250,237,KGB,"AEG,GE",12-1962,12-1966,04-1967,01-1977
de,GERMANY,DE-26,GUNDREMMINGEN-B,BWR,3840,1344,1284,KGG,KWU,07-1976,03-1984,07-1984,12-2020
de,GERMANY,DE-7,HDR GROSSWELZHEIM,BWR,100,27,25,HDR,"AEG,KWU",01-1965,10-1969,08-1970,04-1971
de,GERMANY,DE-16,ISAR-1,BWR,2575,912,878,E.ON,KWU,05-1972,12-1977,03-1979,08-2020
de,GERMANY,DE-8,KNK II,FBR,58,21,17,KBG,IA,09-1974,04-1978,03-1979,08-1991
de,GERMANY,DE-20,KRUEMMEL,BWR,3690,1402,1346,KKK,KWU,04-1974,09-1983,03-1984,08-2020
de,GERMANY,DE-6,LINGEN,BWR,520,268,183,KWL,AEG,10-1964,07-1968,10-1968,01-1977
de,GERMANY,DE-22,MUELHEIM-KAERLICH,PWR,3760,1302,1219,KGG,BBR,01-1975,03-1986,08-1987,09-1988
de,GERMANY,DE-2,MZFR,PHWR,200,57,52,KBG,SIEMENS,12-1961,03-1966,12-1966,05-1984
de,GERMANY,DE-15,NECKARWESTHEIM-1,PWR,2497,840,785,EnKK,KWU,02-1972,06-1976,12-1976,08-2020
de,GERMANY,DE-11,NIEDERAICHBACH,HWGCR,321,106,100,KKN,"SIEM,KWU",06-1966,01-1973,01-1973,07-1974
de,GERMANY,DE-5,OBRIGHEIM,PWR,1050,357,340,EnBW,"SIEM,KWU",03-1965,10-1968,03-1969,05-2020
de,GERMANY,DE-14,PHILIPPSBURG-1,BWR,2575,926,890,EnKK,KWU,10-1970,05-1979,03-1980,08-2020
de,GERMANY,DE-24,PHILIPPSBURG-2,PWR,3950,1468,1402,EnKK,KWU,07-1977,12-1984,04-1985,12-2020
de,GERMANY,DE-501,RHEINSBERG,PWR,265,70,62,EWN,AEE,01-1960,05-1966,10-1966,06-1990
de,GERMANY,DE-10,STADE,PWR,1900,672,640,E.ON,KWU,12-1967,01-1972,05-1972,11-2020
de,GERMANY,DE-19,THTR-300,HTGR,760,308,296,HKG,HRB,05-1971,11-1985,06-1987,09-1988
de,GERMANY,DE-17,UNTERWESER,PWR,3900,1410,1345,E.ON,KWU,07-1972,09-1978,09-1979,08-2020
de,GERMANY,DE-1,VAK KAHL,BWR,60,16,15,VAK,"GE,AEG",07-1958,06-1961,02-1962,11-1985
de,GERMANY,DE-9,WUERGASSEN,BWR,1912,670,640,PE,"AEG,KWU",01-1968,12-1971,11-1975,08-1994
it,ITALY,IT-4,CAORSO,BWR,2651,882,860,SOGIN,AMN/GETS,01-1970,05-1978,12-1981,07-1990
it,ITALY,IT-3,ENRICO FERMI,PWR,870,270,260,SOGIN,EL/WEST,07-1961,10-1964,01-1965,07-1990
it,ITALY,IT-2,GARIGLIANO,BWR,506,160,150,SOGIN,GE,11-1959,01-1964,06-1964,03-1982
it,ITALY,IT-1,LATINA,GCR,660,160,153,SOGIN,TNPG,11-1958,05-1963,01-1964,12-1987
jp,JAPAN,JP-20,FUGEN ATR,HWLWR,557,165,148,JAEA,HITACHI,05-1972,07-1978,03-1979,03-2020
jp,JAPAN,JP-5,FUKUSHIMA-DAIICHI-1,BWR,1380,460,439,TEPCO,GE/GETSC,07-1967,11-1970,03-1971,05-2020
jp,JAPAN,JP-9,FUKUSHIMA-DAIICHI-2,BWR,2381,784,760,TEPCO,GE/T,06-1969,12-1973,07-1974,05-2020
jp,JAPAN,JP-10,FUKUSHIMA-DAIICHI-3,BWR,2381,784,760,TEPCO,TOSHIBA,12-1970,10-1974,03-1976,05-2020
jp,JAPAN,JP-16,FUKUSHIMA-DAIICHI-4,BWR,2381,784,760,TEPCO,HITACHI,02-1973,02-1978,10-1978,05-2020
jp,JAPAN,JP-17,FUKUSHIMA-DAIICHI-5,BWR,2381,784,760,TEPCO,TOSHIBA,05-1972,09-1977,04-1978,12-2020
jp,JAPAN,JP-18,FUKUSHIMA-DAIICHI-6,BWR,3293,1100,1067,TEPCO,GE/T,10-1973,05-1979,10-1979,12-2020
jp,JAPAN,JP-25,FUKUSHIMA-DAINI-1,BWR,3293,1100,1067,TEPCO,TOSHIBA,03-1976,07-1981,04-1982,09-2020
jp,JAPAN,JP-26,FUKUSHIMA-DAINI-2,BWR,3293,1100,1067,TEPCO,HITACHI,05-1979,06-1983,02-1984,09-2020
jp,JAPAN,JP-35,FUKUSHIMA-DAINI-3,BWR,3293,1100,1067,TEPCO,TOSHIBA,03-1981,12-1984,06-1985,09-2020
jp,JAPAN,JP-38,FUKUSHIMA-DAINI-4,BWR,3293,1100,1067,TEPCO,HITACHI,05-1981,12-1986,08-1987,09-2020
jp,JAPAN,JP-12,GENKAI-1,PWR,1650,559,529,KYUSHU,MHI,09-1971,02-1975,10-1975,04-2020
jp,JAPAN,JP-27,GENKAI-2,PWR,1650,559,529,KYUSHU,MHI,02-1977,06-1980,03-1981,04-2020
jp,JAPAN,JP-11,HAMAOKA-1,BWR,1593,540,515,CHUBU,TOSHIBA,06-1971,08-1974,03-1976,01-2020
jp,JAPAN,JP-24,HAMAOKA-2,BWR,2436,840,806,CHUBU,TOSHIBA,06-1974,05-1978,11-1978,01-2020
jp,JAPAN,JP-23,IKATA-1,PWR,1650,566,538,SHIKOKU,MHI,09-1973,02-1977,09-1977,05-2020
jp,JAPAN,JP-32,IKATA-2,PWR,1650,566,538,SHIKOKU,MHI,08-1978,08-1981,03-1982,05-2020
jp,JAPAN,JP-1,JPDR,BWR,90,13,12,JAEA,GE,12-1960,10-1963,03-1965,03-1976
jp,JAPAN,JP-4,MIHAMA-1,PWR,1031,340,320,KEPCO,WH,02-1967,08-1970,11-1970,04-2020
jp,JAPAN,JP-6,MIHAMA-2,PWR,1456,500,470,KEPCO,MHI,05-1968,04-1972,07-1972,04-2020
jp,JAPAN,JP-31,MONJU,FBR,714,280,246,JAEA,T/H/F/M,05-1986,08-1995,NA,12-2020
jp,JAPAN,JP-15,OHI-1,PWR,3423,1175,1120,KEPCO,WH,10-1972,12-1977,03-1979,03-2020
jp,JAPAN,JP-19,OHI-2,PWR,3423,1175,1120,KEPCO,WH,12-1972,10-1978,12-1979,03-2020
jp,JAPAN,JP-22,ONAGAWA-1,BWR,1593,524,498,TOHOKU,TOSHIBA,07-1980,11-1983,06-1984,12-2020
jp,JAPAN,JP-7,SHIMANE-1,BWR,1380,460,439,CHUGOKU,HITACHI,07-1970,12-1973,03-1974,04-2020
jp,JAPAN,JP-2,TOKAI-1,GCR,587,166,137,JAPCO,GEC,03-1961,11-1965,07-1966,03-1998
jp,JAPAN,JP-3,TSURUGA-1,BWR,1070,357,340,JAPCO,GE,11-1966,11-1969,03-1970,04-2020
kz,KAZAKHSTAN,KZ-10,AKTAU,FBR,1000,90,52,MAEC-KAZ,MAEC-KAZ,10-1964,07-1973,07-1973,04-1999
kr,"KOREA, REP. OF",KR-1,KORI-1,PWR,1729,607,576,KHNP,WH,08-1972,06-1977,04-1978,06-2020
kr,"KOREA, REP. OF",KR-3,WOLSONG-1,PHWR,2061,683,661,KHNP,AECL,10-1977,12-1982,04-1983,12-2020
lt,LITHUANIA,LT-46,IGNALINA-1,LWGR,4800,1300,1185,INPP,MAEP,05-1977,12-1983,05-1985,12-2020
lt,LITHUANIA,LT-47,IGNALINA-2,LWGR,4800,1300,1185,INPP,MAEP,01-1978,08-1987,12-1987,12-2020
nl,NETHERLANDS,NL-1,DODEWAARD,BWR,183,60,55,BV GKN,RDM,05-1965,10-1968,03-1969,03-1997
ru,RUSSIA,RU-1,APS-1 OBNINSK,LWGR,30,6,5,MSM,MSM,01-1951,06-1954,12-1954,04-2020
ru,RUSSIA,RU-3,BELOYARSK-1,LWGR,286,108,102,REA,MSM,06-1958,04-1964,04-1964,01-1983
ru,RUSSIA,RU-6,BELOYARSK-2,LWGR,530,160,146,REA,MSM,01-1962,12-1967,12-1969,01-1990
ru,RUSSIA,RU-141,BILIBINO-1,LWGR,62,12,11,REA,AEM,01-1970,01-1974,04-1974,01-2020
ru,RUSSIA,RU-15,LENINGRAD-1,LWGR,3200,1000,925,REA,AEM,03-1970,12-1973,11-1974,12-2020
ru,RUSSIA,RU-4,NOVOVORONEZH-1,PWR,760,210,197,REA,MSM,07-1957,09-1964,12-1964,02-1988
ru,RUSSIA,RU-8,NOVOVORONEZH-2,PWR,1320,365,336,REA,MSM,06-1964,12-1969,04-1970,08-1990
ru,RUSSIA,RU-9,NOVOVORONEZH-3,PWR,1375,417,385,REA,AEM,07-1967,12-1971,06-1972,12-2020
sk,SLOVAKIA,SK-1,BOHUNICE A1,HWGCR,560,143,93,JAVYS,SKODA,08-1958,12-1972,12-1972,02-1977
sk,SLOVAKIA,SK-2,BOHUNICE-1,PWR,1375,440,408,JAVYS,AEE,04-1972,12-1978,04-1980,12-2020
sk,SLOVAKIA,SK-3,BOHUNICE-2,PWR,1375,440,408,JAVYS,AEE,04-1972,03-1980,01-1981,12-2020
es,SPAIN,ES-1,JOSE CABRERA-1,PWR,510,150,141,UFG,WH,06-1964,07-1968,08-1969,04-2020
es,SPAIN,ES-2,SANTA MARIA DE GARONA,BWR,1381,466,446,NUCLENOR,GE,09-1966,03-1971,05-1971,08-2020
es,SPAIN,ES-3,VANDELLOS-1,GCR,1670,500,480,HIFRENSA,CEA,06-1968,05-1972,08-1972,07-1990
se,SWEDEN,SE-1,AGESTA,PHWR,80,12,10,SVAFO,ABBATOM,12-1957,05-1964,05-1964,06-1974
se,SWEDEN,SE-6,BARSEBACK-1,BWR,1800,615,600,BKAB,ASEASTAL,02-1971,05-1975,07-1975,11-1999
se,SWEDEN,SE-8,BARSEBACK-2,BWR,1800,615,600,BKAB,ABBATOM,01-1973,03-1977,07-1977,05-2020
se,SWEDEN,SE-2,OSKARSHAMN-1,BWR,1375,492,473,OKG,ABBATOM,08-1966,08-1971,02-1972,06-2020
se,SWEDEN,SE-3,OSKARSHAMN-2,BWR,1800,661,638,OKG,ABBATOM,09-1969,10-1974,01-1975,12-2020
se,SWEDEN,SE-5,RINGHALS-2,PWR,2652,963,852,RAB,WH,10-1970,08-1974,05-1975,12-2020
ch,SWITZERLAND,CH-8,LUCENS,HWGCR,28,7,6,EOS,NGA,04-1962,01-1968,NA,01-1969
ch,SWITZERLAND,CH-2,MUEHLEBERG,BWR,1097,390,373,BKW,GETSCO,03-1967,07-1971,11-1972,12-2020
tw,"TAIWAN, CHINA",TW-1,CHINSHAN-1,BWR,1840,636,604,TPC,GE,06-1972,11-1977,12-1978,06-2020
tw,"TAIWAN, CHINA",TW-2,CHINSHAN-2,BWR,1840,636,604,TPC,GE,12-1973,12-1978,07-1979,07-2020
uk,UK,GB-3A,BERKELEY-1,GCR,620,166,138,ML,TNPG,01-1957,06-1962,06-1962,03-1989
uk,UK,GB-3B,BERKELEY-2,GCR,620,166,138,ML,TNPG,01-1957,06-1962,10-1962,10-1988
uk,UK,GB-4A,BRADWELL-1,GCR,481,146,123,ML,TNPG,01-1957,07-1962,07-1962,03-2020
uk,UK,GB-4B,BRADWELL-2,GCR,481,146,123,ML,TNPG,01-1957,07-1962,11-1962,03-2020
uk,UK,GB-1A,CALDER HALL-1,GCR,268,60,49,SL,UKAEA,08-1953,08-1956,10-1956,03-2020
uk,UK,GB-1B,CALDER HALL-2,GCR,268,60,49,SL,UKAEA,08-1953,02-1957,02-1957,03-2020
uk,UK,GB-1C,CALDER HALL-3,GCR,268,60,49,SL,UKAEA,08-1955,03-1958,05-1958,03-2020
uk,UK,GB-1D,CALDER HALL-4,GCR,268,60,49,SL,UKAEA,08-1955,04-1959,04-1959,03-2020
uk,UK,GB-2A,CHAPELCROSS-1,GCR,260,60,48,ML,UKAEA,10-1955,02-1959,03-1959,06-2020
uk,UK,GB-2B,CHAPELCROSS-2,GCR,260,60,48,ML,UKAEA,10-1955,07-1959,08-1959,06-2020
uk,UK,GB-2C,CHAPELCROSS-3,GCR,260,60,48,ML,UKAEA,10-1955,11-1959,12-1959,06-2020
uk,UK,GB-2D,CHAPELCROSS-4,GCR,260,60,48,ML,UKAEA,10-1955,01-1960,03-1960,06-2020
uk,UK,GB-14,DOUNREAY DFR,FBR,60,15,11,UKAEA,UKAEA,03-1955,10-1962,10-1962,03-1977
uk,UK,GB-15,DOUNREAY PFR,FBR,600,250,234,UKAEA,TNPG,01-1966,01-1975,07-1976,03-1994
uk,UK,GB-9A,DUNGENESS A-1,GCR,840,230,225,ML,TNPG,07-1960,09-1965,10-1965,12-2020
uk,UK,GB-9B,DUNGENESS A-2,GCR,840,230,225,ML,TNPG,07-1960,11-1965,12-1965,12-2020
uk,UK,GB-7A,HINKLEY POINT A-1,GCR,900,267,235,ML,EE/B&W/T,11-1957,02-1965,03-1965,05-2000
uk,UK,GB-7B,HINKLEY POINT A-2,GCR,900,267,235,ML,EE/B&W/T,11-1957,03-1965,05-1965,05-2000
uk,UK,GB-6A,HUNTERSTON A-1,GCR,595,173,150,ML,GEC,10-1957,02-1964,02-1964,03-1990
uk,UK,GB-6B,HUNTERSTON A-2,GCR,595,173,150,ML,GEC,10-1957,06-1964,07-1964,12-1989
uk,UK,GB-11A,OLDBURY A-1,GCR,730,230,217,ML,TNPG,05-1962,11-1967,12-1967,02-2020
uk,UK,GB-11B,OLDBURY A-2,GCR,660,230,217,ML,TNPG,05-1962,04-1968,09-1968,06-2020
uk,UK,GB-10A,SIZEWELL A-1,GCR,1010,245,210,ML,EE/B&W/T,04-1961,01-1966,03-1966,12-2020
uk,UK,GB-10B,SIZEWELL A-2,GCR,1010,245,210,ML,EE/B&W/T,04-1961,04-1966,09-1966,12-2020
uk,UK,GB-8A,TRAWSFYNYDD-1,GCR,850,235,195,ML,APC,07-1959,01-1965,03-1965,02-1991
uk,UK,GB-8B,TRAWSFYNYDD-2,GCR,850,235,195,ML,APC,07-1959,02-1965,03-1965,02-1991
uk,UK,GB-5,WINDSCALE AGR,GCR,120,36,24,UKAEA,UKAEA,11-1958,02-1963,03-1963,04-1981
uk,UK,GB-12,WINFRITH SGHWR,SGHWR,318,100,92,UKAEA,ICL/FE,05-1963,12-1967,01-1968,09-1990
uk,UK,GB-13A,WYLFA-1,GCR,1650,530,490,ML,EE/B&W/T,09-1963,01-1971,11-1971,12-2020
uk,UK,GB-13B,WYLFA-2,GCR,1920,540,490,ML,EE/B&W/T,09-1963,07-1971,01-1972,04-2020
ua,UKRAINE,UA-25,CHERNOBYL-1,LWGR,3200,800,740,MTE,FAEA,03-1970,09-1977,05-1978,11-1996
ua,UKRAINE,UA-26,CHERNOBYL-2,LWGR,3200,1000,925,MTE,FAEA,02-1973,12-1978,05-1979,10-1991
ua,UKRAINE,UA-42,CHERNOBYL-3,LWGR,3200,1000,925,MTE,FAEA,03-1976,12-1981,06-1982,12-2000
ua,UKRAINE,UA-43,CHERNOBYL-4,LWGR,3200,1000,925,MTE,FAEA,04-1979,12-1983,03-1984,04-1986
us,USA,US-155,BIG ROCK POINT,BWR,240,71,67,CPC,GE,05-1960,12-1962,03-1963,08-1997
us,USA,US-014,BONUS,BWR,50,18,17,DOE/PRWR,GNEPRWRA,01-1960,08-1964,09-1965,06-1968
us,USA,US-302,CRYSTAL RIVER-3,PWR,2568,890,860,PROGRESS,B&W,09-1968,01-1977,03-1977,02-2020
us,USA,US-144,CVTR,PHWR,65,19,17,CVPA,WH,01-1960,12-1963,12-1963,01-1967
us,USA,US-10,DRESDEN-1,BWR,700,207,197,EXELON,GE,05-1956,04-1960,07-1960,10-1978
us,USA,US-011,ELK RIVER,BWR,58,24,22,RCPA,AC,01-1959,08-1963,07-1964,02-1968
us,USA,US-16,FERMI-1,FBR,200,65,61,DTEDISON,UEC,08-1956,08-1966,08-1966,11-1972
us,USA,US-285,FORT CALHOUN-1,PWR,1500,512,482,EXELON,CE,06-1968,08-1973,09-1973,10-2020
us,USA,US-267,FORT ST. VRAIN,HTGR,842,342,330,PSCC,GA,09-1968,12-1976,07-1979,08-1989
us,USA,US-018,GE VALLECITOS,BWR,50,24,24,GE,GE,01-1956,10-1957,10-1957,12-1963
us,USA,US-213,HADDAM NECK,PWR,1825,603,560,CYAPC,WH,05-1964,08-1967,01-1968,12-1996
us,USA,US-077,HALLAM,X,256,84,75,AEC/NPPD,GE,01-1959,09-1963,11-1963,09-1964
us,USA,US-133,HUMBOLDT BAY,BWR,220,65,63,PG&E,GE,11-1960,04-1963,08-1963,07-1976
us,USA,US-013,INDIAN POINT-1,PWR,615,277,257,ENTERGY,B&W,05-1956,09-1962,10-1962,10-1974
us,USA,US-305,KEWAUNEE,PWR,1772,595,566,DOMINION,WH,08-1968,04-1974,06-1974,05-2020
us,USA,US-409,LACROSSE,BWR,165,55,48,DPC,AC,03-1963,04-1968,11-1969,04-1987
us,USA,US-309,MAINE YANKEE,PWR,2630,900,860,MYAPC,CE,10-1968,11-1972,12-1972,08-1997
us,USA,US-245,MILLSTONE-1,BWR,2011,684,641,DOMINION,GE,05-1966,11-1970,03-1971,07-1998
us,USA,US-219,OYSTER CREEK,BWR,1930,652,619,EXELON,GE,12-1964,09-1969,12-1969,09-2020
us,USA,US-130,PATHFINDER,BWR,220,63,59,NMC,AC,01-1959,07-1966,08-1966,10-1967
us,USA,US-171,PEACH BOTTOM-1,HTGR,115,42,40,EXELON,GA,02-1962,01-1967,06-1967,11-1974
us,USA,US-293,PILGRIM-1,BWR,2028,711,677,ENTERGY,GE,08-1968,07-1972,12-1972,05-2020
us,USA,US-012,PIQUA,X,46,12,12,CofPiqua,GE,01-1960,07-1963,11-1963,01-1966
us,USA,US-312,RANCHO SECO-1,PWR,2772,917,873,SMUD,B&W,04-1969,10-1974,04-1975,06-1989
us,USA,US-206,SAN ONOFRE-1,PWR,1347,456,436,SCE,WH,05-1964,07-1967,01-1968,11-1992
us,USA,US-361,SAN ONOFRE-2,PWR,3438,1127,1070,SCE,CE,03-1974,09-1982,08-1983,06-2020
us,USA,US-362,SAN ONOFRE-3,PWR,3438,1127,1080,SCE,CE,03-1974,09-1983,04-1984,06-2020
us,USA,US-146,SAXTON,PWR,24,3,3,SNEC,GE,01-1960,03-1967,03-1967,05-1972
us,USA,US-001,SHIPPINGPORT,PWR,236,68,60,DOE DUQU,WH,01-1954,12-1957,05-1958,10-1982
us,USA,US-322,SHOREHAM,BWR,2436,849,820,LIPA,GE,11-1972,08-1986,08-1986,05-1989
us,USA,US-289,THREE MILE ISLAND-1,PWR,2568,880,819,EXELON,B&W,05-1968,06-1974,09-1974,09-2020
us,USA,US-320,THREE MILE ISLAND-2,PWR,2772,959,880,GPU,B&W,11-1969,04-1978,12-1978,03-1979
us,USA,US-344,TROJAN,PWR,3411,1155,1095,PORTGE,WH,02-1970,12-1975,05-1976,11-1992
us,USA,US-271,VERMONT YANKEE,BWR,1912,635,605,ENTERGY,GE,12-1967,09-1972,11-1972,12-2020
us,USA,US-29,YANKEE NPS,PWR,600,180,167,YAEC,WH,11-1957,11-1960,07-1961,10-1991
us,USA,US-295,ZION-1,PWR,3250,1085,1040,EXELON,WH,12-1968,06-1973,12-1973,02-1998
us,USA,US-304,ZION-2,PWR,3250,1085,1040,EXELON,WH,12-1968,12-1973,09-1974,02-1998
us,USA,US-247,INDIAN POINT-2,PWR,3216,1067,998,ENTERGY,WH,10-1966,06-1973,08-1974,04-2020
